iter	Passed	Remaining
398	231278	58544
399	231867	57966
400	232448	57387
401	233029	56808
402	233617	56230
403	234360	55689
404	235091	55144
405	235748	54582
406	236443	54027
407	237228	53492
408	237907	52933
409	238548	52364
410	239428	51846
411	240201	51305
412	240918	50750
413	241565	50180
414	242195	49606
415	242845	49036
416	243622	48490
417	244219	47909
418	244792	47322
419	245339	46731
420	245941	46150
421	246571	45574
422	247221	45002
423	247854	44426
424	248493	43851
425	249115	43273
426	249769	42700
427	250334	42112
428	250933	41529
429	251526	40946
430	252177	40371
431	252819	39795
432	253503	39225
433	254116	38644
434	254783	38071
435	255394	37489
436	256022	36909
437	256690	36335
438	257267	35747
439	257864	35163
440	258507	34584
441	259175	34009
442	259767	33423
443	260332	32834
444	260971	32254
445	261608	31674
446	262350	31106
447	262996	30526
448	263671	29949
449	264360	29373
450	265069	28799
451	265649	28210
452	266192	27618
453	266816	27034
454	267474	26453
455	268043	25863
456	268650	25277
457	269180	24684
458	269748	24095
459	270317	23505
460	270944	22921
461	271488	22330
462	272045	21740
463	272705	21158
464	273388	20577
465	274054	19995
466	274635	19406
467	275272	18822
468	275930	18238
469	276506	17649
470	277136	17063
471	277736	16475
472	278388	15891
473	278982	15302
474	279275	14698
475	279856	14110
476	280462	13523
477	281076	12936
478	281681	12349
479	282257	11760
480	282848	11172
481	283455	10585
482	284078	9998
483	284656	9410
484	285271	8822
485	285856	8234
486	286437	7646
487	286979	7056
488	287535	6468
489	288085	5879
490	288648	5290
491	289204	4702
492	289745	4114
493	290289	3525
494	290876	2938
495	291403	2350
496	291942	1762
497	292484	1174
498	293007	587
499	293560	0
