iter	Logloss
0	0.6238658112
50	0.009829169502
100	0.002603261651
150	0.001732388789
200	0.001456081964
250	0.001258393348
300	0.001094757311
350	0.0009617037233
400	0.0008314094742
450	0.0007322234727
499	0.0006483123117
